0.622, 0.620, 0.830, 22.592
0.662, 0.606, 0.871, 29.684
0.688, 0.761, 0.689, 26.773
0.674, 0.636, 0.798, 17.572
0.697, 0.612, 0.860, 20.752
0.657, 0.755, 0.695, 18.838
0.637, 0.681, 0.761, 18.473
0.645, 0.662, 0.774, 24.222
0.688, 0.709, 0.723, 25.415
0.675, 0.659, 0.803, 16.951
0.685, 0.619, 0.861, 17.428
0.673, 0.734, 0.731, 22.833
0.631, 0.720, 0.744, 18.258
0.622, 0.622, 0.819, 22.927
0.650, 0.640, 0.794, 23.144
0.665, 0.663, 0.794, 23.452
0.671, 0.724, 0.738, 23.622
0.653, 0.698, 0.740, 21.413
0.664, 0.649, 0.775, 15.868
0.668, 0.686, 0.751, 24.613
0.681, 0.701, 0.735, 20.707
0.651, 0.691, 0.763, 18.946
0.668, 0.691, 0.761, 18.401
0.663, 0.697, 0.765, 15.903
0.632, 0.695, 0.755, 15.988
0.652, 0.666, 0.789, 17.812
0.632, 0.626, 0.829, 14.441
0.635, 0.621, 0.847, 18.558
0.658, 0.610, 0.856, 16.460
0.638, 0.633, 0.842, 20.958
0.646, 0.663, 0.818, 16.624
0.651, 0.651, 0.799, 15.363
0.682, 0.680, 0.775, 19.838
0.676, 0.686, 0.777, 17.498
0.675, 0.692, 0.759, 16.975
0.688, 0.673, 0.793, 16.003
0.647, 0.685, 0.774, 18.748
0.667, 0.686, 0.764, 15.396
0.668, 0.671, 0.793, 16.111
0.641, 0.681, 0.782, 16.518
0.654, 0.670, 0.773, 15.590
0.651, 0.698, 0.775, 13.846
0.647, 0.687, 0.772, 16.501
0.622, 0.710, 0.762, 18.053
0.648, 0.625, 0.858, 16.346
0.685, 0.577, 0.918, 22.023
0.623, 0.638, 0.829, 16.851
0.696, 0.584, 0.907, 21.233
0.629, 0.623, 0.843, 15.469
0.673, 0.596, 0.901, 16.887
0.635, 0.653, 0.810, 15.574
0.641, 0.696, 0.822, 18.697
0.649, 0.683, 0.760, 16.926
0.643, 0.722, 0.749, 15.504
0.701, 0.599, 0.890, 16.017
0.630, 0.653, 0.823, 15.160
0.657, 0.732, 0.790, 13.486
0.685, 0.658, 0.795, 16.628
0.637, 0.659, 0.818, 14.478
0.659, 0.687, 0.780, 14.560
0.672, 0.670, 0.793, 13.982
0.652, 0.640, 0.831, 14.584
0.648, 0.739, 0.758, 16.549
0.689, 0.635, 0.833, 12.295
0.649, 0.651, 0.818, 15.679
0.650, 0.727, 0.752, 14.054
0.675, 0.601, 0.886, 14.388
0.663, 0.691, 0.745, 13.455
0.635, 0.645, 0.831, 12.427
0.656, 0.736, 0.750, 15.035
0.673, 0.592, 0.915, 18.021
0.656, 0.706, 0.750, 12.948
0.635, 0.641, 0.842, 14.844
0.639, 0.672, 0.805, 15.180
0.641, 0.716, 0.759, 17.865
0.688, 0.610, 0.884, 12.503
0.693, 0.620, 0.843, 15.373
0.672, 0.722, 0.757, 15.036
0.629, 0.646, 0.837, 15.041
0.620, 0.626, 0.867, 12.695
0.623, 0.696, 0.792, 15.847
0.641, 0.746, 0.741, 15.414
0.678, 0.696, 0.782, 14.556
0.684, 0.593, 0.921, 17.211
0.680, 0.551, 0.953, 17.506
0.687, 0.588, 0.923, 15.248
0.685, 0.629, 0.827, 13.642
0.675, 0.667, 0.781, 12.942
0.667, 0.725, 0.748, 11.923
0.658, 0.705, 0.759, 12.955
0.645, 0.662, 0.811, 13.462
0.616, 0.629, 0.847, 13.383
0.626, 0.633, 0.843, 13.552
0.653, 0.700, 0.771, 14.251
0.634, 0.707, 0.769, 13.044
0.639, 0.688, 0.799, 14.937
0.680, 0.628, 0.870, 14.565
0.688, 0.579, 0.927, 16.499
0.665, 0.571, 0.921, 15.750
0.658, 0.609, 0.855, 14.089
0.668, 0.670, 0.786, 13.069
0.681, 0.702, 0.770, 12.944
0.660, 0.695, 0.775, 12.177
0.649, 0.679, 0.812, 11.708
0.638, 0.607, 0.865, 12.873
0.618, 0.629, 0.868, 10.285
0.613, 0.607, 0.905, 12.157
0.638, 0.657, 0.843, 12.719
0.639, 0.687, 0.819, 12.606
0.623, 0.703, 0.776, 13.096
0.664, 0.731, 0.757, 12.247
0.637, 0.709, 0.785, 13.394
0.677, 0.678, 0.848, 12.052
0.654, 0.599, 0.912, 13.923
0.692, 0.559, 0.989, 14.182
0.681, 0.566, 0.977, 12.491
0.665, 0.556, 1.004, 11.930
0.669, 0.559, 0.960, 12.083
0.674, 0.555, 0.957, 13.114
0.675, 0.574, 0.911, 12.961
0.656, 0.612, 0.880, 12.628
0.614, 0.661, 0.806, 10.995
0.663, 0.738, 0.777, 11.647
0.657, 0.723, 0.786, 12.679
0.644, 0.669, 0.818, 12.233
0.646, 0.610, 0.879, 13.746
0.617, 0.661, 0.847, 13.175
0.671, 0.722, 0.789, 15.675
0.653, 0.660, 0.853, 12.802
0.681, 0.558, 0.957, 12.698
0.646, 0.595, 0.876, 13.220
0.662, 0.754, 0.766, 13.035
0.626, 0.688, 0.829, 12.677
0.630, 0.609, 0.892, 13.151
0.622, 0.650, 0.850, 12.630
0.646, 0.690, 0.785, 12.426
0.683, 0.599, 0.925, 12.245
0.666, 0.600, 0.908, 10.572
0.630, 0.684, 0.797, 11.204
0.655, 0.636, 0.881, 11.899
0.621, 0.685, 0.834, 10.788
0.684, 0.612, 0.895, 10.580
0.643, 0.675, 0.810, 10.197
0.654, 0.638, 0.853, 10.158
0.658, 0.683, 0.844, 10.492
0.631, 0.663, 0.831, 10.843
0.635, 0.637, 0.871, 10.341
0.691, 0.609, 0.892, 12.081
0.633, 0.671, 0.844, 9.650
0.648, 0.703, 0.819, 11.874
0.663, 0.679, 0.828, 11.205
0.654, 0.683, 0.833, 9.828
0.666, 0.653, 0.796, 10.540
0.650, 0.645, 0.861, 10.727
0.652, 0.659, 0.830, 10.650
0.649, 0.637, 0.839, 9.994
0.675, 0.638, 0.843, 12.383
0.658, 0.650, 0.838, 11.218
0.636, 0.674, 0.872, 9.622
0.639, 0.656, 0.846, 10.715
0.650, 0.674, 0.833, 9.308
0.675, 0.637, 0.839, 9.464
0.672, 0.662, 0.845, 10.065
0.629, 0.648, 0.851, 9.534
0.674, 0.656, 0.820, 9.818
0.657, 0.669, 0.817, 9.452
0.674, 0.658, 0.828, 10.944
0.664, 0.648, 0.837, 8.606
0.661, 0.650, 0.825, 10.619
0.653, 0.654, 0.822, 11.270
0.661, 0.645, 0.830, 9.183
0.652, 0.657, 0.821, 9.975
0.652, 0.665, 0.844, 10.746
0.659, 0.657, 0.827, 9.468
0.642, 0.666, 0.839, 11.200
0.688, 0.658, 0.828, 9.458
0.664, 0.643, 0.833, 10.740
0.640, 0.655, 0.823, 11.043
0.675, 0.646, 0.813, 9.562
0.658, 0.681, 0.840, 10.311
0.660, 0.653, 0.853, 12.450
0.657, 0.672, 0.823, 9.476
0.668, 0.628, 0.848, 9.820
0.670, 0.660, 0.828, 9.683
0.673, 0.665, 0.838, 9.390
0.675, 0.665, 0.825, 9.985
0.647, 0.662, 0.835, 10.282
0.645, 0.667, 0.846, 9.851
0.665, 0.642, 0.837, 9.417
0.653, 0.659, 0.834, 11.073
0.647, 0.676, 0.819, 10.068
0.666, 0.658, 0.835, 10.010
0.670, 0.623, 0.848, 10.627
0.654, 0.652, 0.841, 11.078
0.658, 0.652, 0.826, 9.075
0.642, 0.657, 0.810, 9.530
0.664, 0.655, 0.841, 10.114
0.693, 0.670, 0.817, 10.053
0.669, 0.647, 0.843, 10.017
0.638, 0.640, 0.837, 9.120
0.663, 0.654, 0.810, 9.627
0.647, 0.652, 0.830, 8.905
0.646, 0.665, 0.835, 10.362
0.663, 0.664, 0.848, 10.113
0.667, 0.663, 0.830, 9.481
0.671, 0.676, 0.834, 10.008
0.684, 0.661, 0.817, 9.535
0.682, 0.649, 0.829, 10.011
0.664, 0.670, 0.810, 10.845
0.673, 0.673, 0.813, 10.039
0.669, 0.662, 0.828, 9.298
0.669, 0.663, 0.823, 10.262
0.672, 0.661, 0.815, 10.088
0.666, 0.668, 0.810, 9.782
0.656, 0.664, 0.850, 10.219
0.658, 0.667, 0.821, 9.536
0.651, 0.657, 0.831, 10.763
0.687, 0.625, 0.818, 10.030
0.666, 0.677, 0.815, 9.535
0.700, 0.666, 0.822, 8.881
0.671, 0.674, 0.829, 9.416
0.648, 0.648, 0.843, 10.384
0.676, 0.684, 0.820, 9.651
0.657, 0.686, 0.819, 9.681
0.632, 0.659, 0.822, 10.867
0.666, 0.648, 0.818, 9.849
0.687, 0.667, 0.821, 9.039
0.661, 0.682, 0.803, 9.236
0.669, 0.682, 0.811, 10.098
0.657, 0.665, 0.831, 10.138
0.672, 0.650, 0.825, 10.230
0.689, 0.633, 0.852, 9.130
0.639, 0.647, 0.850, 9.363
0.666, 0.629, 0.922, 11.190
0.626, 0.593, 1.147, 12.709
0.640, 0.643, 0.941, 11.266
0.642, 0.751, 0.775, 9.512
0.648, 0.664, 0.826, 9.181
0.671, 0.653, 0.876, 9.510
0.662, 0.678, 0.809, 9.117
0.655, 0.669, 0.817, 9.300
0.638, 0.666, 0.839, 8.621
